month,day,temp,RH,wind,rain,class
3,5,8.2,51.0,6.7,0.0,1
10,2,18.0,33.0,0.9,0.0,1
10,6,14.6,33.0,1.3,0.0,1
3,5,8.3,97.0,4.0,0.2,1
3,7,11.4,99.0,1.8,0.0,1
8,7,22.2,29.0,5.4,0.0,1
8,1,24.1,27.0,3.1,0.0,1
8,1,8.0,86.0,2.2,0.0,1
9,2,13.1,63.0,5.4,0.0,1
9,6,22.8,40.0,4.0,0.0,1
9,6,17.8,51.0,7.2,0.0,1
9,6,19.3,38.0,4.0,0.0,1
8,5,17.0,72.0,6.7,0.0,1
9,1,21.3,42.0,2.2,0.0,1
9,3,26.4,21.0,4.5,0.0,1
9,5,22.9,44.0,5.4,0.0,1
3,6,15.1,27.0,5.4,0.0,1
10,1,16.7,47.0,4.9,0.0,1
3,3,15.9,35.0,4.0,0.0,1
4,6,9.3,44.0,4.5,0.0,1
9,2,18.3,40.0,2.7,0.0,1
9,1,19.1,38.0,2.7,0.0,1
6,7,21.0,44.0,4.5,0.0,1
8,6,19.5,43.0,5.8,0.0,1
8,6,23.7,32.0,5.8,0.0,1
8,7,16.3,60.0,5.4,0.0,1
9,5,19.0,34.0,5.8,0.0,1
9,1,19.4,48.0,1.3,0.0,1
9,6,30.2,24.0,2.7,0.0,1
9,7,22.8,39.0,3.6,0.0,1
9,5,25.4,24.0,3.6,0.0,1
9,1,11.2,78.0,7.6,0.0,1
9,5,20.6,37.0,1.8,0.0,1
9,7,17.7,39.0,3.6,0.0,1
9,1,21.2,32.0,2.7,0.0,1
9,2,18.2,62.0,4.5,0.0,1
10,2,21.7,24.0,4.5,0.0,1
10,5,11.3,60.0,5.4,0.0,1
10,6,17.8,27.0,4.0,0.0,1
3,2,14.1,43.0,2.7,0.0,1
7,2,23.3,37.0,3.1,0.0,1
8,6,18.4,42.0,6.7,0.0,1
8,2,16.6,54.0,5.4,0.0,1
9,6,19.6,48.0,2.7,0.0,1
9,3,12.9,74.0,4.9,0.0,1
9,3,25.9,24.0,4.0,0.0,1
9,1,14.7,70.0,3.6,0.0,1
7,1,23.0,36.0,3.1,0.0,1
3,1,11.8,35.0,1.8,0.0,1
3,1,11.0,46.0,5.8,0.0,1
9,4,20.8,17.0,1.3,0.0,1
8,7,21.5,34.0,2.2,0.0,1
8,3,20.4,42.0,4.9,0.0,1
8,3,20.4,42.0,4.9,0.0,1
8,4,17.6,45.0,3.6,0.0,1
9,4,27.7,24.0,2.2,0.0,1
9,2,17.8,63.0,4.9,0.0,1
10,7,13.8,50.0,2.7,0.0,1
2,1,13.9,40.0,5.4,0.0,1
2,5,12.3,51.0,0.9,0.0,1
3,7,11.5,39.0,5.8,0.0,1
3,7,5.5,59.0,6.3,0.0,1
8,4,18.8,35.0,4.9,0.0,1
8,7,20.8,33.0,2.7,0.0,1
8,1,23.1,31.0,3.1,0.0,1
8,4,18.6,44.0,4.5,0.0,1
9,5,23.0,37.0,4.5,0.0,1
9,5,19.6,33.0,5.4,0.0,1
9,5,19.6,33.0,6.3,0.0,1
3,5,17.2,26.0,4.5,0.0,1
3,5,15.8,27.0,7.6,0.0,1
9,5,17.7,37.0,3.6,0.0,1
3,5,15.6,25.0,6.3,0.0,1
8,2,17.3,43.0,4.5,0.0,1
9,5,27.6,30.0,1.3,0.0,1
2,4,6.7,79.0,3.1,0.0,1
2,5,15.7,43.0,3.1,0.0,1
3,1,8.3,72.0,3.1,0.0,1
8,5,14.7,66.0,2.7,0.0,1
8,2,21.6,19.0,6.7,0.0,1
8,7,19.5,39.0,6.3,0.0,1
8,7,17.9,44.0,2.2,0.0,1
8,2,18.6,51.0,4.5,0.0,1
8,3,16.6,47.0,0.9,0.0,1
8,4,20.2,45.0,3.6,0.0,1
9,4,21.5,15.0,0.9,0.0,1
9,4,25.4,27.0,2.2,0.0,1
9,4,22.4,34.0,2.2,0.0,1
9,7,25.3,36.0,3.6,0.0,1
3,6,17.4,25.0,4.9,0.0,1
8,6,14.7,59.0,5.8,0.0,1
3,5,17.4,24.0,5.4,0.0,1
8,7,20.8,32.0,6.3,0.0,1
8,7,18.2,43.0,4.9,0.0,1
8,1,23.4,22.0,2.7,0.0,1
9,7,17.8,64.0,1.3,0.0,1
2,6,12.7,48.0,1.8,0.0,1
3,6,17.4,24.0,5.4,0.0,1
8,7,11.6,87.0,4.5,0.0,1
8,7,19.8,39.0,5.4,0.0,1
8,7,19.8,39.0,5.4,0.0,1
8,2,14.4,66.0,5.4,0.0,1
8,2,20.1,40.0,4.0,0.0,1
9,6,24.1,29.0,4.5,0.0,1
1,6,5.3,78.0,3.1,0.0,1
3,5,12.7,52.0,6.3,0.0,1
3,4,18.2,29.0,3.1,0.0,1
8,7,21.4,33.0,3.1,0.0,1
9,6,20.3,45.0,3.1,0.0,1
9,1,17.4,56.0,5.4,0.0,1
3,5,13.7,43.0,5.8,0.0,1
3,5,18.8,18.0,4.5,0.0,1
9,7,22.8,39.0,3.6,0.0,1
9,1,18.9,35.0,2.7,0.0,1
3,2,15.8,27.0,7.6,0.0,1
3,2,15.5,27.0,6.3,0.0,1
3,6,11.6,30.0,6.3,0.0,1
3,6,15.2,27.0,4.9,0.0,1
3,1,10.6,30.0,4.0,0.0,1
8,4,19.6,36.0,3.1,0.0,1
8,1,10.3,74.0,2.2,0.0,1
8,1,17.1,43.0,5.4,0.0,1
9,7,22.5,42.0,5.4,0.0,1
9,2,17.9,45.0,3.1,0.0,1
9,5,19.8,50.0,5.4,0.0,1
10,7,20.6,24.0,5.4,0.0,1
3,1,9.0,49.0,2.2,0.0,1
9,5,17.2,43.0,3.1,0.0,1
10,3,15.9,46.0,3.6,0.0,1
10,7,15.4,35.0,0.9,0.0,1
2,6,15.4,40.0,2.7,0.0,1
3,1,14.0,39.0,3.1,0.0,1
3,7,10.6,46.0,4.9,0.0,1
9,4,17.6,42.0,3.1,0.0,1
3,2,14.9,38.0,2.7,0.0,1
8,6,17.6,52.0,5.8,0.0,1
9,7,17.2,58.0,1.3,0.0,1
9,1,15.6,66.0,3.1,0.0,1
7,2,18.0,42.0,2.7,0.0,1
9,2,21.7,38.0,2.2,0.0,1
9,1,21.9,39.0,1.8,0.0,1
8,3,23.3,31.0,4.5,0.0,1
8,5,21.2,51.0,8.9,0.0,1
7,6,16.6,53.0,5.4,0.0,1
8,3,23.8,32.0,5.4,0.0,1
8,4,27.4,22.0,4.0,0.0,1
3,1,13.2,40.0,5.4,0.0,1
9,2,24.2,28.0,3.6,0.0,1
8,2,17.4,43.0,6.7,0.0,1
9,4,23.7,25.0,4.5,0.0,1
6,5,23.2,39.0,5.4,0.0,1
7,7,24.8,29.0,2.2,0.0,1
7,6,24.6,43.0,1.8,0.0,1
9,5,20.1,47.0,4.9,0.0,1
9,6,29.6,27.0,2.7,0.0,1
8,7,16.4,47.0,1.3,0.0,1
9,6,28.6,27.0,2.2,0.0,1
8,3,18.4,45.0,3.6,0.0,1
8,3,20.5,35.0,4.0,0.0,1
9,5,19.0,34.0,5.8,0.0,1
3,1,16.1,29.0,3.1,0.0,1
8,4,20.3,41.0,4.0,0.0,1
3,6,15.2,31.0,8.5,0.0,1
9,6,17.8,56.0,1.8,0.0,1
9,7,17.8,67.0,2.2,0.0,1
3,4,5.3,70.0,4.5,0.0,1
8,3,16.6,47.0,0.9,0.0,1
8,3,23.4,33.0,4.5,0.0,1
3,5,14.6,26.0,9.4,0.0,1
8,4,20.7,45.0,2.2,0.0,1
9,3,21.9,35.0,1.8,0.0,1
8,3,17.4,50.0,4.0,0.0,1
8,7,20.1,39.0,5.4,0.0,1
9,1,17.7,39.0,2.2,0.0,1
8,6,14.2,53.0,1.8,0.0,1
8,6,20.3,39.0,4.9,0.0,1
4,4,5.8,54.0,5.8,0.0,1
8,7,19.2,44.0,2.7,0.0,1
9,3,18.3,45.0,2.2,0.0,1
8,2,14.4,66.0,5.4,0.0,1
